number;disciplines_id;avgMark
886;1722;4.833
887;1725;2
888;1728;4.692
889;1729;4.556
890;1734;4.274
891;1735;4.6
892;1736;4.714
893;1739;3.314
894;1742;4.083
895;1744;4.818
896;1748;4.667
897;1749;4.073
898;1752;4.625
899;1757;3.622
900;1760;4.415
901;1761;4.808
902;1763;3.673
903;1764;4.158
904;1771;4.2
905;1772;4.538
906;1775;4.471
907;1778;4.182
908;1779;4.4
909;1780;4.382
910;1781;4.118
911;1782;4.8
912;1785;4.45
913;1787;3.933
914;1788;4.538
915;1793;4.183
916;1795;4.667
917;1796;4
918;1797;4.885
919;1798;4.625
920;1799;5
921;1800;4.611
922;1804;4.471
923;1805;4.786
924;1806;4.447
925;1807;4.635
926;1808;3.522
927;1809;3.944
928;1810;4.467
929;1812;3.375
930;1813;4.289
931;1816;3.412
932;1817;4.568
933;1818;3.571
934;1821;3.966
935;1822;3.731
936;1825;4.607
937;1826;4.737
938;1827;2
939;1828;3.857
940;1833;3.909
941;1835;4.5
942;1836;3.95
943;1839;4.162
944;1840;4.12
945;1841;3.132
946;1845;4.389
947;1846;5
948;1851;3.462
949;1852;4.7
950;1853;4.676
951;1860;4.585
952;1861;4.549
953;1863;4.422
954;1864;5
955;1866;4.714
956;1868;4.512
957;1869;3.86
958;1871;4.929
959;1874;4.423
960;1876;3.292
961;1878;3.731
962;1879;4.909
963;1880;3.905
964;1881;4.722
965;1883;4.185
966;1885;4.341
967;1886;4.944
968;1890;4.786
969;1891;4.5
970;1898;4.091
971;1899;4.649
972;1900;4.261
973;1902;4.615
974;1906;4.64
975;1907;4.656
976;1909;4.358
977;1910;3.652
978;1911;3.824
979;1915;4.957
980;1918;4.077
981;1920;3.615
982;1922;4
983;1923;4.667
984;1924;4.242
985;1925;3.813
986;1927;4.516
987;1928;4.571
988;1929;4.462
989;1938;3.532
990;1939;4.455
991;1940;4.615
992;1941;5
993;1942;3.909
994;1943;4.292
995;1945;4.893
996;1947;4.5
997;1951;3.35
998;1955;4.267
999;1957;3.889
1000;1958;5
1001;1959;4.786
1002;1960;4.571
1003;1968;4.6
1004;1970;4.235
1005;1971;4.067
1006;1972;4.156
1007;1974;4.408
1008;1975;5
1009;1978;4.65
1010;1983;3.9
1011;1985;4.688
1012;1986;4.417
