number;name;avgMark
520;Химия 2.1;3.54
521;Проектирование информационных систем;4.149
522;Консалтинг при автоматизации предприятий;3.833
523;Второй иностранный язык (немецкий);2
524;Архитектура информационных систем;3.333
525;Инженерно-геологическая графика;3.9
526;Схемотехника ЭВМ. Часть 1;2.4
527;Теоретические основы энерго- и ресурсосбережения в химической технологии;2.5
528;Углубленный курс информатики;3.876
529;Прикладная информатика;3.857
530;Приборы ориентации и навигации. Часть 2;3
531;Методология подготовки и написания диссертации;2
532;Социология управления;2
533;CAD-CAM системы;4.222
534;Прикладные программные продукты;4.75
535;Физика нефтяного и газового пласта;2
536;Математика 1 (ЭТО);3.702
537;Подземная гидромеханика;3.432
538;Промысловая геофизика;2
539;Физика 1 (ЭТО);3.959
540;Информационные технологии в профессиональной деятельности;2
541;Паровые котлы;3.49
542;Физика 1.4;3.429
543;Физика атомного ядра и частиц;2.75
544;Экономика и управление нефтегазовым производством. Технико-экономический анализ;4.306
545;Специальные главы математики;3.9
546;Экономика и управление организациями малого бизнеса;4
547;Введение в синхронный перевод;2
548;Основы технологии ядерного топливного цикла;3.2
549;Информационное обеспечение систем управления;2
550;Практикум по переводу со 2-го иностранного языка (французский);2
551;Идентификация и диагностика систем;3.963
552;Углубленный курс физической химии;2.867
553;Детали машин;2
554;Дифракционные, спектроскопические и зондовые методы исследования материалов;5
555;Начертательная геометрия;4
556;Промышленный маркетинг;5
557;Мировая экономика и внешнеэкономическая деятельность;3.958
558;Основы инженерного проектирования;2
559;Менеджмент;3.653
560;Интеллектуальная и промышленная собственность;2
561;Методика обучения иностранным языкам;2
562;Информационно-коммуникационные технологии в машиностроении;4.741
563;Основы экономики и организации нефтегазового производства;2
564;Сравнительная типология;2
565;Расчет и проектирование средств защиты;2
566;Отечественная история;3.818
567;Механика 1.5;2.733
568;Вакуумное оборудование плазменных и ускорительных систем;4.235
569;Механика, молекулярная физика, термодинамика;4
570;Электрическая часть электростанций;3
571;Аналитическая геометрия и линейная алгебра;5
572;Компьютерная графика;3.657
573;Технология химического машиностроения;2.8
574;Современные проблемы инноватики. Часть 2;4.2
575;Зарубежная литература;2
576;Технологические основы сварки плавлением и давлением;2
577;Локальные системы автоматики и управления;2.667
578;Машины и аппараты химических производств;2.875
579;Физика конденсированного состояния;4.267
580;Дифференциальные уравнения и системы. Операционные исчисления;3
581;Электроразведка;2.667
582;Физическое и математическое моделирование колебательных систем;3
583;Основы автоматизированного проектирования;2
584;Механика и молекулярная физика;4
585;Корпоративная социальная ответственность;2
586;Химическое сопротивление материалов и защита от коррозии;4.037
587;Компьютерные технологии в приборостроении;2.5
588;Квантовая физика. Колебания и волны;3
589;Микроэкономика;3.585
590;Экспериментальные исследования тепломассообменных и газодинамических процессов;4.148
591;Вспомогательное оборудование котельных установок;4.16
592;Микропроцессорная техника в мехатронике и робототехнике;3.958
593;Основы электротехники;3.333
594;Математика 1.7;3.188
595;Теория функций комплексного переменного;2.5
596;Моделирование и управление бизнес-процессами;4.5
597;Английский язык для академической мобильности (Language for Mobility);4
598;Механика 2.2;3.683
599;Математическое моделирование объектов и систем управления;3.75
600;Информационная поддержка жизненного цикла продукции;4.692
601;Научно-исследовательская деятельность;2
602;Основы физики плазмы;2
603;Математические основы теории надежности;4.526
604;Моделирование физических процессов и объектов проектирования;5
605;Математические методы моделирования (процессов и явлений);4
606;Электрические элементы систем автоматического управления;4.419
607;Академическая скульптура и пластическое моделирование;3
608;Основы физико-химических процессов производства тепловой энергии;4
609;Электротехника, электроника и автоматизация;2
610;Геометрия и алгебра. Часть 1;3
611;Теоретическая Электротехника;3
612;Лидерство;3.682
613;Управление жизненным циклом продукции;2
614;Системы реального времени;4.5
615;Учет и анализ;2.963
616;Минералогия и петрография;3.273
617;Компьютерные технологии в инновационной и педагогической деятельности;4.515
618;Синергетика;5
619;Химия 1.4;3
620;Компьютерные технологии в науке и образовании;4.302
621;Информатика 1.2;2.13
